task;start-time;end-time;interaction-time;missclicks
PLACE;2023-08-10 16:47:57.607;2023-08-10 16:48:00.213;2606,1269;
CLICK_QUBOID;2023-08-10 16:48:04.481;2023-08-10 16:48:06.184;1702,9991;
PLACE_BACK;2023-08-10 16:48:10.131;2023-08-10 16:48:13.085;2954,0594;
EDIT;2023-08-10 16:48:14.461;2023-08-10 16:48:15.591;1130,0004;
CLICK_COLOR;2023-08-10 16:48:17.715;2023-08-10 16:48:20.041;2326,2734;
COLOR_GREEN;2023-08-10 16:48:21.397;2023-08-10 16:48:23.114;1717;
COLOR_BACK;2023-08-10 16:48:25.580;2023-08-10 16:48:26.852;1272,0011;
EDIT_SIZE;2023-08-10 16:48:28.307;2023-08-10 16:48:30.639;2331,9977;
EDIT_SIZE;2023-08-10 16:48:28.307;2023-08-10 16:48:39.234;10927,2175;
EDIT_BACK;2023-08-10 16:48:40.359;2023-08-10 16:48:42.321;1962,261;
PLACE2;2023-08-10 16:48:44.398;2023-08-10 16:48:45.647;1248,9998;
CLICK_SPHERE;2023-08-10 16:48:47.694;2023-08-10 16:48:57.867;10172,5;PLACE_CYLINDER
PLACE_BACK_2;2023-08-10 16:49:00.953;2023-08-10 16:49:01.734;781,0006;PLACE_CYLINDER
EDIT2;2023-08-10 16:49:04.237;2023-08-10 16:49:05.207;969,7401;PLACE_CYLINDER
CLICK_COLOR_2;2023-08-10 16:49:06.245;2023-08-10 16:49:07.837;1591,6544;PLACE_CYLINDER
COLOR_YELLOW;2023-08-10 16:49:09.420;2023-08-10 16:49:10.346;926,0006;PLACE_CYLINDER
