task;start-time;end-time;interaction-time;missclicks
PLACE;2023-08-10 15:51:00.149;2023-08-10 15:51:03.826;3676,9984;
CLICK_QUBOID;2023-08-10 15:51:06.967;2023-08-10 15:51:09.287;2319,5172;
